,Latitude,Longitude,City,Country,Date,Temperature,Humidity,Cloudiness,Wind Speed
216,-13.64,-68.44,tambopata,PE,2021-01-13 10:34:20,22.69,99.0,72.0,0.65
217,-25.08,172.1,vao,NC,2021-01-13 10:34:21,25.57,83.0,97.0,8.61
218,18.92,-3.19,araouane,ML,2021-01-13 10:34:22,24.68,17.0,0.0,4.82
219,7.25,68.25,kulhudhuffushi,MV,2021-01-13 10:34:22,24.59,89.0,100.0,2.87
220,4.54,-15.84,bonthe,SL,2021-01-13 10:34:23,29.37,66.0,60.0,1.25
221,63.71,157.3,omsukchan,RU,2021-01-13 10:34:23,-33.53,83.0,100.0,1.55
222,48.1,139.1,mayskiy,RU,2021-01-13 10:34:24,3.0,93.0,90.0,10.0
223,-43.55,41.58,margate,GB,2021-01-13 10:31:22,4.61,87.0,100.0,0.45
224,-37.52,-89.13,lebu,CL,2021-01-13 10:34:25,11.6,72.0,41.0,5.5
226,-44.41,176.58,waipawa,NZ,2021-01-13 10:34:27,17.97,72.0,1.0,5.66
227,35.72,-50.04,torbay,CA,2021-01-13 10:34:27,-2.0,93.0,90.0,4.12
228,16.4,88.69,puri,IN,2021-01-13 10:34:28,31.0,51.0,40.0,1.54
230,-19.85,161.75,poum,NC,2021-01-13 10:34:29,28.15,80.0,92.0,7.2
231,20.31,114.51,zhuhai,CN,2021-01-13 10:34:30,14.9,41.0,0.0,2.57
232,78.47,156.34,cherskiy,RU,2021-01-13 10:34:30,-27.87,84.0,95.0,3.3
233,43.24,55.18,beyneu,KZ,2021-01-13 10:34:31,2.82,74.0,70.0,8.7
234,79.05,35.25,vardo,NO,2021-01-13 10:34:31,-16.0,78.0,0.0,18.52
235,8.17,88.32,port blair,IN,2021-01-13 10:34:32,26.3,78.0,41.0,6.46
236,62.3,52.91,borovoy,RU,2021-01-13 10:34:33,-22.0,77.0,0.0,6.0
237,4.47,-112.61,san patricio,US,2021-01-13 10:34:33,2.01,100.0,1.0,1.54
238,-13.24,122.9,kupang,ID,2021-01-13 10:34:34,28.0,89.0,40.0,1.03
239,37.53,-96.51,el dorado,US,2021-01-13 10:34:34,9.73,54.0,40.0,2.57
240,18.86,128.33,dicabisagan,PH,2021-01-13 10:34:35,22.59,84.0,95.0,3.64
241,54.39,32.33,shatalovo,RU,2021-01-13 10:34:36,-5.68,96.0,100.0,5.53
242,-26.2,164.76,noumea,NC,2021-01-13 10:26:16,26.74,88.0,0.0,4.63
243,62.55,112.75,chernyshevskiy,RU,2021-01-13 10:34:37,-32.07,86.0,100.0,3.2
244,10.38,147.84,lorengau,PG,2021-01-13 10:34:37,28.53,76.0,74.0,4.56
245,-28.08,99.8,carnarvon,AU,2021-01-13 10:34:38,27.0,74.0,0.0,9.26
246,2.3,-23.36,bubaque,GW,2021-01-13 10:34:39,24.85,46.0,0.0,6.74
247,62.11,-2.83,brae,GB,2021-01-13 10:34:39,4.0,81.0,20.0,5.14
248,5.75,-108.66,lazaro cardenas,MX,2021-01-13 10:34:40,22.96,53.0,100.0,1.86
249,-17.57,-87.17,lima,PE,2021-01-13 10:32:08,19.72,88.0,40.0,3.6
250,-47.27,171.38,dunedin,NZ,2021-01-13 10:34:41,15.0,88.0,15.0,3.13
251,42.63,40.44,pitsunda,GE,2021-01-13 10:34:42,19.41,40.0,90.0,7.0
252,-20.43,143.81,charters towers,AU,2021-01-13 10:34:42,24.98,83.0,76.0,5.45
254,65.68,3.12,raudeberg,NO,2021-01-13 10:34:44,-0.56,73.0,0.0,5.76
255,24.94,82.03,naigarhi,IN,2021-01-13 10:34:44,19.28,27.0,0.0,3.29
256,15.43,79.35,kanigiri,IN,2021-01-13 10:34:45,28.27,55.0,72.0,5.69
257,53.84,-13.84,dingle,PH,2021-01-13 10:34:45,24.25,82.0,100.0,4.48
258,3.1,3.34,lagos,NG,2021-01-13 10:32:12,29.0,79.0,75.0,4.12
259,2.93,-56.35,grand-santi,GF,2021-01-13 10:34:47,22.58,96.0,70.0,1.09
260,36.85,30.9,serik,TR,2021-01-13 10:34:48,19.3,68.0,75.0,5.66
261,16.91,21.84,biltine,TD,2021-01-13 10:34:49,32.72,10.0,0.0,0.9
262,43.84,-69.68,bath,GB,2021-01-13 10:32:26,8.86,100.0,100.0,9.11
263,12.18,-163.64,makakilo city,US,2021-01-13 10:34:50,24.33,73.0,75.0,4.12
