Latitude,Longitude,City,Country,Date,Temperature,Humidity,Cloudiness,Wind Speed
-7.37,-153.48,faanui,PF,2021-01-13 10:32:43,27.44,77.0,100.0,8.75
54.87,141.43,mnogovershinnyy,RU,2021-01-13 10:32:44,-26.44,87.0,100.0,1.15
-21.52,-87.77,pisco,PE,2021-01-13 10:32:45,18.95,82.0,20.0,2.57
-9.77,111.53,boyolangu,ID,2021-01-13 10:32:46,26.13,83.0,99.0,3.17
62.31,44.71,verkhnyaya toyma,RU,2021-01-13 10:32:46,-24.32,89.0,1.0,1.7
-22.82,-26.24,caravelas,BR,2021-01-13 10:32:47,26.58,75.0,21.0,1.38
-63.19,131.78,new norfolk,AU,2021-01-13 10:32:48,17.74,76.0,79.0,0.45
51.74,146.99,vostok,RU,2021-01-13 10:32:49,-13.32,96.0,98.0,1.35
-4.49,91.7,padang,ID,2021-01-13 10:32:50,26.07,73.0,88.0,4.0
68.89,18.31,setermoen,NO,2021-01-13 10:32:50,-15.0,72.0,0.0,2.06
-34.52,164.52,ahipara,NZ,2021-01-13 10:32:51,17.42,89.0,6.0,2.95
1.89,-154.41,hilo,US,2021-01-13 10:30:14,19.17,83.0,1.0,0.93
66.41,55.0,izhma,RU,2021-01-13 10:32:53,-24.61,89.0,62.0,1.29
3.08,99.78,teluk nibung,ID,2021-01-13 10:32:53,25.9,84.0,94.0,1.86
-15.75,21.76,kalabo,ZM,2021-01-13 10:32:54,25.66,72.0,100.0,3.11
-87.84,-142.5,mataura,NZ,2021-01-13 10:32:54,13.33,86.0,59.0,0.45
-3.06,75.42,hithadhoo,MV,2021-01-13 10:32:55,27.88,74.0,12.0,9.54
33.71,-128.84,half moon bay,US,2021-01-13 10:32:56,10.06,93.0,1.0,0.65
63.88,-122.57,norman wells,CA,2021-01-13 10:32:56,-20.0,84.0,90.0,3.6
-6.19,-86.18,talara,PE,2021-01-13 10:32:57,21.64,79.0,62.0,5.89
54.1,96.38,toora-khem,RU,2021-01-13 10:32:58,-18.78,90.0,100.0,0.04
50.2,-35.91,nanortalik,GL,2021-01-13 10:32:59,-1.06,95.0,100.0,6.84
13.07,82.28,kattivakkam,IN,2021-01-13 10:32:59,30.0,66.0,40.0,5.14
-40.28,-38.1,cidreira,BR,2021-01-13 10:32:09,21.94,78.0,95.0,5.11
21.3,24.94,faya,SA,2021-01-13 10:33:00,17.0,39.0,40.0,5.14
-25.44,39.3,inhambane,MZ,2021-01-13 10:33:01,27.0,94.0,75.0,1.03
26.13,126.17,itoman,JP,2021-01-13 10:33:02,14.36,58.0,75.0,2.06
15.14,45.83,sayyan,YE,2021-01-13 10:31:10,17.12,29.0,21.0,2.55
4.01,35.88,lodwar,KE,2021-01-13 10:33:04,35.17,22.0,0.0,8.18
80.95,93.53,talnakh,RU,2021-01-13 10:33:06,-25.97,87.0,89.0,4.77
-9.95,139.76,merauke,ID,2021-01-13 10:33:06,27.99,78.0,66.0,2.3
